year,pdf_link,titulo,epigrafe
2009,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-010-DE-2009-04052021103208.pdf,ACUERDO Nº 010,
2009,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-011-DE-2009-04052021104236.pdf,ACUERDO Nº 011,
2009,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-012-DE-2009-04052021104314.pdf,ACUERDO Nº 012,
2009,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-013-DE-2009-04052021104406.pdf,ACUERDO Nº 013,
2009,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-015-DE-2009-04052021104535.pdf,ACUERDO Nº 015,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-001-DE-2010-04052021104734.pdf,ACUERDO Nº 001,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-002-DE-2010-04052021104807.pdf,ACUERDO Nº 002,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-003-DE-2010-04052021104832.pdf,ACUERDO Nº 003,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-004-DE-2010-04052021104903.pdf,ACUERDO Nº 004,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-005-DE-2010-04052021104926.pdf,ACUERDO Nº 005,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/04/007-2010-04012022094406.pdf,ACUERDO Nº 007,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/04/006-2010-04012022094215-1.pdf,ACUERDO Nº 006,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/04/009-2010-04012022094858.pdf,ACUERDO Nº 009,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/04/010-2010-04012022094957.pdf,ACUERDO Nº 010,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/04/011-2010-04012022095041.pdf,ACUERDO Nº 011,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/04/012-2010-04012022095123.pdf,ACUERDO Nº 012,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/04/013-2010-04012022095205.pdf,ACUERDO Nº 013,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/04/014-2010-04012022095248.pdf,ACUERDO Nº 014,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/04/015-2010-04012022095331.pdf,ACUERDO Nº 015,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/04/016-2010-04012022095416.pdf,ACUERDO Nº 016,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/04/017-2010-04012022095457.pdf,ACUERDO Nº 017,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/04/018-2010-04012022095532.pdf,ACUERDO Nº 018,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/04/019-2010-04012022095627.pdf,ACUERDO Nº 019,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/04/020-2010-04012022095740.pdf,ACUERDO Nº 020,
2010,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/04/022-2010-04012022095830.pdf,ACUERDO Nº 022,
2011,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0001-11.pdf,ACUERDO Nº 001,
2011,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0002-11.pdf,ACUERDO Nº 002,
2011,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0003-11.pdf,ACUERDO Nº 003,
2011,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0004-11.pdf,ACUERDO Nº 004,
2011,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0005-11.pdf,ACUERDO Nº 005,
2011,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0006-11.pdf,ACUERDO Nº 006,
2011,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0007-11.pdf,ACUERDO Nº 007,
2011,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-008-11.pdf,ACUERDO Nº 008,
2011,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-00010-11.pdf,ACUERDO Nº 010,
2011,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0011-11.pdf,ACUERDO Nº 011,
2011,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0012-11.pdf,ACUERDO Nº 012,
